n_predictions,mae,mse,rmse,mape,smape,rmsle,mean_forecast_error,median_absolute_error,direction_accuracy,up_accuracy,down_accuracy,pearson_corr,spearman_corr,hit_ratio,information_coefficient,pred_up_fraction,actual_up_fraction,low_sample_warning,direction_bias_warning,reliability_notes,model,horizon
600,13.315417098999024,327.59741420550546,18.099652322779725,4.547439161129904,4.522522816466077,0.06087226935968363,-0.8536157480875651,9.539993286132812,50.66666666666667,50.50167224080268,51.0,0.8760424260411639,0.8864334580180658,50.66666666666667,0.06160639590239811,47.5,49.833333333333336,False,False,[],Naive (last close),30
20,3.7594372950083086,28.520582132461875,5.340466471429427,1.311698698352159,1.304047402195951,0.018324009883538866,1.3704128924406944,1.5630597410388987,30.0,100.0,0.0,0.9869143502761825,0.9819548872180449,30.0,0.015037593984962403,100.0,30.0,True,True,"['only 20 predictions -- direction accuracy could plausibly be anywhere from 10% to 50%', ""model predicted UP on 100% of predictions -- accuracy mostly reflects the market's own base rate here, not real directional skill""]",Drift,1
60,5.570040141756587,54.59893956730238,7.389109524651965,1.9596805936652306,1.9518463142164044,0.02608795818575933,1.5133233434751394,4.1769496080361534,40.0,70.83333333333334,19.444444444444446,0.9732909698161659,0.968380105584885,40.0,-0.032342317310364,76.66666666666667,40.0,False,False,[],Drift,3
100,6.617520692645607,75.05054589796703,8.663171815101386,2.3187077372393428,2.303712408398924,0.030034605406834534,2.184334380447086,5.193304081168421,47.0,70.73170731707317,30.508474576271187,0.9645675892055963,0.9640444044404439,47.0,0.07614761476147613,70.0,41.0,False,False,[],Drift,5
140,7.860211315759768,107.35900328992258,10.36141898052205,2.7593738272869004,2.730851187210679,0.035567257982123936,2.960787791512224,5.72944729606219,47.14285714285714,68.25396825396825,29.87012987012987,0.9532359098795522,0.9556766260054979,47.14285714285714,-0.03013710612057467,69.28571428571428,45.0,False,False,[],Drift,7
280,10.17050262686574,182.55264958427978,13.511204594124084,3.5055118137689476,3.4638038925675065,0.045172890644265926,3.2992620506224615,7.480219047050326,51.07142857142857,67.64705882352942,35.41666666666667,0.9271049542019177,0.9420368565399599,51.07142857142857,0.06777910796967163,66.07142857142857,48.57142857142857,False,False,[],Drift,14
600,13.399725336488364,335.86869161128146,18.326720699876493,4.624054149428574,4.5457145184754575,0.06199311889854862,2.144253811305719,9.344857933722977,52.166666666666664,60.535117056856194,44.0,0.873486429220826,0.8966005691100315,52.166666666666664,0.06694935263709065,58.333333333333336,49.833333333333336,False,False,[],Drift,30
20,10.09954948425293,130.67146187301444,11.43116187764894,3.532863689414216,3.5348873532200877,0.03974607861930359,-1.2753486633300823,10.032503890991222,60.0,50.0,64.28571428571429,0.9403908577176135,0.9022556390977443,60.0,0.17142857142857143,40.0,30.0,True,False,['only 20 predictions -- direction accuracy could plausibly be anywhere from 39% to 81%'],Moving Average (20d),1
60,9.941400909423828,140.9398039899428,11.871807107173819,3.4281170189234165,3.4430745863924708,0.040934192322805776,-1.3258491516113324,8.661502075195301,55.00000000000001,45.83333333333333,61.111111111111114,0.9353681875760103,0.9156055737161493,55.00000000000001,0.08924701305918313,41.66666666666667,40.0,False,False,[],Moving Average (20d),3
100,10.60028005981445,164.38796167559317,12.821386885808929,3.65008639651692,3.6595450799095617,0.043976931016381504,-0.8482490539550824,9.191998291015636,55.00000000000001,51.21951219512195,57.6271186440678,0.9236957389861736,0.9109048329883184,55.00000000000001,0.043240324032403236,46.0,41.0,False,False,[],Moving Average (20d),5
140,11.872156917027064,206.6828442746133,14.37646842150788,4.1114106581851555,4.106964245678587,0.04941275605588791,-0.2652065822056404,10.140496826171898,50.0,47.61904761904761,51.94805194805194,0.9057928384754979,0.8985303933794866,50.0,-0.0733244407513503,47.85714285714286,45.0,False,False,[],Moving Average (20d),7
