Date,Open,High,Low,Close,Volume,Adj Close
"May 7, 2024",4.35,4.38,3.74,3.79,"10,814,500",3.79
"May 6, 2024",4.30,4.51,4.27,4.47,"5,271,100",4.47
"May 3, 2024",4.10,4.40,4.07,4.14,"4,614,200",4.14
"May 2, 2024",3.90,3.99,3.71,3.93,"4,450,100",3.93
"May 1, 2024",3.60,3.90,3.37,3.69,"8,397,400",3.69
"Apr 30, 2024",3.95,4.05,3.68,3.72,"7,759,400",3.72
"Apr 29, 2024",4.25,4.36,3.97,4.04,"5,486,400",4.04
"Apr 26, 2024",4.48,4.62,4.39,4.50,"3,506,900",4.50
"Apr 25, 2024",4.32,4.46,4.19,4.43,"6,526,300",4.43
"Apr 24, 2024",4.77,5.00,4.55,4.64,"4,933,400",4.64
"Apr 23, 2024",4.47,4.89,4.41,4.81,"7,142,200",4.81
"Apr 22, 2024",4.03,4.57,3.86,4.56,"8,317,500",4.56
"Apr 19, 2024",3.70,3.99,3.56,3.84,"8,233,100",3.84
"Apr 18, 2024",3.49,3.84,3.41,3.68,"5,565,400",3.68
"Apr 17, 2024",3.37,3.59,3.30,3.42,"5,592,700",3.42
"Apr 16, 2024",3.54,3.57,3.30,3.36,"6,140,300",3.36
"Apr 15, 2024",3.82,3.90,3.59,3.65,"4,059,600",3.65
"Apr 12, 2024",4.06,4.15,3.73,3.83,"5,772,900",3.83
"Apr 11, 2024",4.21,4.21,3.88,4.15,"6,934,600",4.15
"Apr 10, 2024",3.97,4.42,3.94,4.21,"5,946,100",4.21
"Apr 9, 2024",4.20,4.31,4.12,4.20,"4,088,200",4.20
"Apr 8, 2024",4.32,4.55,3.91,4.29,"8,056,600",4.29
"Apr 5, 2024",4.06,4.22,3.88,4.05,"4,832,800",4.05
"Apr 4, 2024",4.44,4.59,4.15,4.16,"6,297,800",4.16
"Apr 3, 2024",4.24,4.49,4.16,4.35,"5,025,400",4.35
"Apr 2, 2024",4.34,4.37,4.00,4.29,"10,712,300",4.29
"Apr 1, 2024",4.94,4.94,4.61,4.88,"6,556,400",4.88
"Mar 28, 2024",5.35,5.75,5.03,5.15,"14,473,600",5.15
"Mar 27, 2024",5.33,5.66,5.25,5.33,"11,048,400",5.33
"Mar 26, 2024",5.37,5.48,5.16,5.22,"12,534,000",5.22
"Mar 25, 2024",4.81,5.46,4.76,5.26,"16,804,100",5.26
"Mar 22, 2024",4.69,4.81,4.51,4.62,"8,155,800",4.62
"Mar 21, 2024",4.30,5.05,4.28,4.83,"12,449,400",4.83
"Mar 20, 2024",4.30,4.71,4.12,4.55,"15,720,900",4.55
"Mar 19, 2024",3.80,4.26,3.69,4.10,"14,220,500",4.10
"Mar 18, 2024",3.62,4.07,3.40,3.95,"14,272,000",3.95
"Mar 15, 2024",3.09,3.54,3.09,3.53,"10,597,800",3.53
"Mar 14, 2024",3.33,3.38,3.04,3.17,"6,672,400",3.17
"Mar 13, 2024",3.09,3.46,3.04,3.38,"7,441,200",3.38
"Mar 12, 2024",3.20,3.24,3.05,3.13,"4,791,700",3.13
"Mar 11, 2024",3.66,3.70,3.15,3.16,"8,455,400",3.16
