n_predictions,mae,mse,rmse,mape,smape,rmsle,mean_forecast_error,median_absolute_error,direction_accuracy,up_accuracy,down_accuracy,pearson_corr,spearman_corr,hit_ratio,information_coefficient,model,horizon
5,5.201370919437716,42.10573827051381,6.488893455013251,3.208799760505317,3.259629030766067,0.04016294611916657,-2.4405698209428466,5.2718566679010905,40.0,40.0,,0.9163891749244615,0.7999999999999999,40.0,-0.9999999999999999,Linear Regression,1
15,5.840328757160715,48.87802696222789,6.991282211599521,3.6085319448486177,3.6412971872637074,0.04267699406229857,-2.083455097254654,5.2718566679010905,53.333333333333336,40.0,80.0,0.910819663881814,0.7964285714285713,53.333333333333336,0.06428571428571428,Linear Regression,3
25,6.3777506946967355,62.657362787643514,7.915640390242821,3.949463674785759,3.9457490272504376,0.047530663587751924,-0.8115401619779254,5.353849053142085,44.0,30.76923076923077,58.333333333333336,0.8636283911758021,0.7369230769230769,44.0,-0.24461538461538462,Linear Regression,5
35,7.65024052264514,97.90435302967293,9.89466285578609,4.724484670722794,4.702526679056659,0.05900178790139011,-0.25236817568743064,5.683703403838564,40.0,27.77777777777778,52.94117647058824,0.7431049230464555,0.6291316526610645,40.0,-0.396358543417367,Linear Regression,7
70,10.132434193276715,165.39314099958276,12.860526466656905,6.268940711395284,6.206938104345058,0.07670238401984833,0.7009617164799717,8.20249829187631,47.14285714285714,40.625,52.63157894736842,0.5732285204530017,0.4134582578957783,47.14285714285714,-0.05789519727058,Linear Regression,14
150,13.085001932909492,254.4844604306214,15.952569085593122,8.127851721486227,7.983883600896953,0.09522346090709088,1.9556605874121897,13.809059591912558,46.0,45.45454545454545,46.57534246575342,0.46510740454770916,0.2736933805679755,46.0,-0.05808791501844526,Linear Regression,30
5,2.0348229941195486,7.270186930279616,2.6963284166213164,1.286587919335963,1.300746244989491,0.016839492075069084,-2.0348229941195486,1.6951840443068988,40.0,40.0,,0.9868702679522834,0.9999999999999999,40.0,-0.6,"ARIMA(5,1,0)",1
15,2.581555999733143,9.07995624884221,3.013296574989294,1.633475574468731,1.6492052512829078,0.019136408732713207,-1.9517913265788556,2.124246353946461,53.333333333333336,30.0,100.0,0.9802651152615597,0.8928571428571428,53.333333333333336,0.4392857142857142,"ARIMA(5,1,0)",3
25,3.0394994408493767,13.261889893544973,3.641687780898436,1.9236684699358173,1.9296451621119406,0.022732833896473955,-0.9745359831399424,2.8751592058482913,56.00000000000001,30.76923076923077,83.33333333333334,0.9495935209925084,0.8738461538461537,56.00000000000001,0.05846153846153846,"ARIMA(5,1,0)",5
35,4.138087188901495,29.29754676330709,5.412720828133213,2.5866890814207064,2.593801303629457,0.03298036115156983,-0.7087769425133453,3.94926441288041,48.57142857142857,33.33333333333333,64.70588235294117,0.8717587519317275,0.8204481792717087,48.57142857142857,-0.2224089635854342,"ARIMA(5,1,0)",7
70,5.871639564760581,60.697756552065506,7.790876494468739,3.6542254548833366,3.6676905709343317,0.0474207696440629,-0.7586226597997698,4.541442826421431,51.42857142857142,43.75,57.89473684210527,0.7523900632182556,0.6790891356146096,51.42857142857142,0.02020820575627679,"ARIMA(5,1,0)",14
150,7.516113536864497,88.8268842059511,9.424801547298017,4.690101684337244,4.7358302214693575,0.05835653479470909,-1.775493258909198,6.02446145689423,47.333333333333336,38.961038961038966,56.16438356164384,0.6855658488274193,0.57667352626698,47.333333333333336,-0.017069203075692253,"ARIMA(5,1,0)",30
